keys,zh_CN,en
UI_CRAFT_TITLE,"铁匠铺 · 打造","Forge · Craft"
UI_CRAFT_STATUS,"选一件装备打造（🔒 = 先买制书）","Pick a piece to craft (🔒 = buy blueprint first)"
UI_CRAFT_HINT,"↑↓ 选择　·　J 打造 / 买制书　·　Tab 强化　·　Esc 离开","↑↓ select　·　J craft / buy blueprint　·　Tab upgrade　·　Esc leave"
UI_CRAFT_OK,"打造完成：%s","Crafted: %s"
UI_CRAFT_POOR,"材料不够：%s","Missing materials: %s"
UI_CRAFT_BP_BOUGHT,"已解锁 %s 的打造（%d 元宝）","Unlocked crafting for %s (%d gold)"
UI_CRAFT_BP_POOR,"元宝不够（需要 %d）","Not enough gold (need %d)"
UI_CRAFT_BP_LOCKED,"制书 · %d 元宝","Blueprint · %d gold"
HUD_SHARD,"精铁","Ore"
UI_MENU_LOAD,"读取存档","Load Game"
UI_SLOTS_TITLE_NEW,"新的开始 —— 选择存档位","New Start — pick a slot"
UI_SLOTS_TITLE_LOAD,"读取存档","Load Game"
UI_SLOT_EMPTY,"（空）","(empty)"
UI_LEVEL_TOWN,"城镇","Town"
UI_LEVEL_LICHANG,"砺场","Whetstone Yard"
UI_LEVEL_DUANCUIQU,"断淬渠","Broken Quench"
UI_LEVEL_LUHOU,"炉喉","Furnace Throat"
UI_SLOT_OLD,"（旧版本 · 不可继续）","(old version · not playable)"
UI_SLOT_OLD_BLOCK,"这个存档来自旧版本，装备系统已重做，无法继续 —— 请删除它并开始新档","This save is from an older version. The gear system was reworked, so it can't be continued — please delete it and start a new game"
UI_LEVEL_TEST_ROOM,"训练房","Training Room"
PANEL_HP,"生命","HP"
PANEL_MP,"蓝量","MP"
PANEL_ATK,"攻击","ATK"
PANEL_EXP,"经验","EXP"
UI_EXP_MAX,"已满级","MAX"
UI_LEVELUP,"升级！","LEVEL UP!"
PANEL_LEVEL,"等级","Level"
PANEL_WEAPON,"武器强化","Weapon"
UI_PAUSE_CONTINUE,"继续游戏","Resume"
UI_PAUSE_SAVE,"保存游戏","Save Game"
UI_PAUSE_SAVED,"已保存 ✓","Saved ✓"
UI_PAUSE_MENU,"回主菜单","Main Menu"
UI_PAUSE_TOWN,"回到城镇（放弃本趟）","Return to town (abandon run)"
UI_PAUSE_SETTINGS,"设置","Settings"
UI_PAUSE_HINT,"↑↓ 选择　·　J 确认　·　Esc 返回游戏","↑↓ select　·　J confirm　·　Esc resume"
UI_HINT_SYSTEM,"C 角色面板　·　B 装备背包　·　Esc 保存 / 暂停","C character　·　B gear bag　·　Esc save / pause"
UI_BAG_TITLE,"背包 · 装备","Gear · Bag"
UI_BAG_HINT,"↑↓ 选择　·　J 穿戴 / 卸下　·　B 关闭","↑↓ select　·　J equip / unequip　·　B close"
UI_BAG_EMPTY,"（空）","(empty)"
UI_SETTINGS_TITLE,"设置","Settings"
UI_SETTINGS_BGM,"背景音乐","Music"
UI_SETTINGS_SFX,"音效","Sound"
UI_SETTINGS_LANGUAGE,"语言","Language"
UI_SETTINGS_MUTED,"静音","muted"
UI_SETTINGS_HINT,"↑↓ 选择　·　←→ 调整　·　J 静音 / 切换　·　Esc 返回","↑↓ select　·　←→ adjust　·　J mute / switch　·　Esc back"
SLOT_WEAPON,"武器","Weapon"
SLOT_HELM,"头盔","Helm"
SLOT_CHEST,"胸甲","Chest"
SLOT_LEGS,"护腿","Legs"
SLOT_BOOTS,"靴子","Boots"
SLOT_RING,"戒指","Ring"
SLOT_NECKLACE,"项链","Necklace"
SLOT_BRACELET,"手镯","Bracelet"
SLOT_WEAPON,"武器","Weapon"
SLOT_HELM,"头盔","Helm"
SLOT_CHEST,"胸甲","Chest"
SLOT_LEGS,"护腿","Legs"
SLOT_BOOTS,"靴子","Boots"
SLOT_RING,"戒指","Ring"
SLOT_NECKLACE,"项链","Necklace"
SLOT_BRACELET,"手镯","Bracelet"
SLOT_WEAPON,"武器","Weapon"
SLOT_HELM,"头盔","Helm"
SLOT_CHEST,"胸甲","Chest"
SLOT_LEGS,"护腿","Legs"
SLOT_BOOTS,"靴子","Boots"
SLOT_RING,"戒指","Ring"
SLOT_NECKLACE,"项链","Necklace"
SLOT_BRACELET,"手镯","Bracelet"
SLOT_WEAPON,"武器","Weapon"
SLOT_HELM,"头盔","Helm"
SLOT_CHEST,"胸甲","Chest"
SLOT_LEGS,"护腿","Legs"
SLOT_BOOTS,"靴子","Boots"
SLOT_RING,"戒指","Ring"
SLOT_NECKLACE,"项链","Necklace"
SLOT_BRACELET,"手镯","Bracelet"
SLOT_WEAPON,"武器","Weapon"
SLOT_HELM,"头盔","Helm"
STAT_ATK,"攻","ATK"
STAT_HP,"血","HP"
STAT_DEF,"防","DEF"
STAT_FORGE,"强化","Refine"
PANEL_DEF,"防御","DEF"
UI_DLG_HINT,"J 继续","J continue"
UI_NPC_TALK,"按 J 交谈","J to talk"
NPC_SMITH,"老铁匠","Old Smith"
NPC_HUNTER,"猎人","Hunter"
DLG_SMITH_1,"醒了？这镇子就剩我一个打铁的了。","Awake? I'm the last smith left in this town."
DLG_SMITH_2,"你手上空着 —— 拿这把。铁坯是我亲手打的。","Your hands are empty. Take this — I forged the billet myself."
DLG_SMITH_3,"镇子右边那道门，过去就是后山。先去练练手。","The gate on the right leads to the back hills. Go get some practice."
DLG_SMITH_4,"打回来的碎片别扔，炉子在这儿，我给你锤。","Don't toss the shards you bring back. The forge is here — I'll hammer them for you."
DLG_SMITH_R1,"回来了？身上那件，比先前像样了。","Back already? That thing on you looks better than before."
DLG_SMITH_R2,"炉子还热着，碎片够了就来。","The forge is still hot. Come when you have enough shards."
DLG_HUNTER_1,"别往前 —— 那东西在磨刀。","Don't go further — that thing is sharpening its blade."
DLG_HUNTER_2,"它那一锤下来，地都要裂。","One smash from it splits the ground."
DLG_HUNTER_3,"退两步，等它收招，再贴上去砍。","Step back, wait for it to recover, then close in."
UI_SKILL_TITLE,"技能 · 携带 5 格","Skills"
UI_SKILL_HINT,"↑↓ 选择　·　J 装/卸　·　1-5 装格　·　V 关","↑↓　J equip　·　1-5 slot　·　V close"
UI_SKILL_CARRY,"已携带","Carried"
UI_SKILL_LOCKED,"【未解锁】","[locked]"
UI_SKILL_LOCKED_AT,"【未解锁 · Lv.%d 开】","[locked · Lv.%d]"
SKILL_WHIRL,"旋风斩","Whirlwind"
SKILL_THRUST,"突刺斩","Thrust"
SKILL_IRONWALL,"铁壁","Iron Wall"
SKILL_WAVE,"剑气斩","Sword Wave"
SKILL_QUAKE,"崩山击","Quake Smash"
SKILL_BREATHE,"调息","Breathe"
SKILL_UPCUT,"上撩斩","Upcut"
UI_HINT_SKILL2,"技能　1~5　（五个格，V 键换携带）","Skills　1~5　(5 slots, V to change)"
UI_GATE_LOCKED,"封锁中 —— 先打倒这里的守卫","Sealed — defeat the guardian first"
DLG_HUNTER_END_1,"到顶了。后面这条路上还有活的东西，但都不成气候了。","We're at the top. A few things still stir below, but nothing serious."
DLG_HUNTER_END_2,"你在镇上攒的那些，够你往更远的地方走了。","What you've gathered in town is enough to carry you further."
DLG_HUNTER_END_3,"先回去歇着吧。","Go rest for now."
MAP_QUENCH_RIDGE,"淬火岭","Quenched Ridge"
DUNGEON_LICHANG,"砺场","Whetstone Yard"
DUNGEON_DUANCUIQU,"断淬渠","Broken Quench"
DUNGEON_LUHOU,"炉喉","Furnace Throat"
UI_ATLAS_TITLE,"舆图","Atlas"
UI_ATLAS_HINT,"↑↓ 选关　·　←→ 换地图　·　J 进入　·　Esc 关闭","↑↓ select　·　←→ maps　·　J enter　·　Esc close"
UI_ATLAS_HINT_CLEAR,"副本已通关 —— ↑↓ 选下一个副本，←→ 换地图，J 进入；Esc 回安全区","Dungeon cleared — ↑↓ pick next, ←→ maps, J enter; Esc back to town"
UI_ATLAS_BACK,"回安全区","Back to town"
UI_ATLAS_LOCKED,"未解锁","Locked"
UI_ATLAS_CLEARED,"已通关","Cleared"
UI_ATLAS_NOT_READY,"未开放","Not open yet"
UI_ATLAS_REC,"推荐 Lv.%d　武器 Lv.%d","Rec. Lv.%d　Weapon Lv.%d"
UI_PEDESTAL_TITLE,"舆图台","Atlas Stand"
UI_PEDESTAL_HINT,"按 P 打开舆图","Press P for the Atlas"
UI_DUNGEON_SCREENS,"%d 屏","%d screens"
UI_SCREEN_LABEL,"第 %d 屏","Screen %d"
UI_SCREEN_TOTAL,"共 %d 屏","of %d"
UI_SCREEN_CLEARED,"第 %d 屏已清空","Screen %d cleared"
UI_SCREEN_ADVANCE,"继续向右前进","Advance right"
UI_SCREEN_BLOCKED,"这一屏还没清空 —— 打完了才能往前走","Clear this screen first — no way forward yet"
UI_DEATH_TITLE,"倒下了","You have fallen"
UI_DEATH_RESTART,"重新开始","Start over"
UI_DEATH_TOWN,"返回城镇","Return to town"
UI_DEATH_HINT,"↑↓ 选择　·　J 确认","↑↓ select　·　J confirm"
HUD_GOLD,"元宝","Gold"
UI_SHOP_TITLE,"商店","Shop"
UI_SHOP_STAND_HINT,"按 J 逛商店","Press J to browse"
UI_SHOP_HINT,"↑↓ 选择　·　J 购买　·　Esc 关闭","↑↓ select　·　J buy　·　Esc close"
UI_SHOP_STATUS,"随便看看。","Take a look around."
UI_SHOP_EMPTY,"（货架空着）","(no stock)"
UI_SHOP_BUY_OK,"买下了　元宝 ×%d","Purchased　Gold ×%d"
UI_SHOP_POOR,"元宝不够，还差 %d","Not enough gold — %d short"
UI_SHOP_UNAVAILABLE,"这件不卖","Not for sale"
UI_SHOP_LOCKED,"还没开张 —— 通关砺场后再来","Not open yet — clear Lichang first"
UI_BAG_SELL,"K 出售","K sell"
UI_SLOT_PAGE,"第 %d / %d 页","Page %d / %d"
UI_CONFIRM_OVERWRITE,"这个存档位已有进度，覆盖它重新开始吗？","This slot has progress. Overwrite and start over?"
UI_CONFIRM_YES,"覆盖，重新开始","Overwrite"
UI_CONFIRM_NO,"先不了","Cancel"
UI_CHAR_TITLE,"选择你的角色","Choose your character"
CHAR_SWORDSMAN,"剑客 · 铁衣","Swordsman"
CHAR_SWORDSMAN_DESC,"三段连招贴身快攻，技能池七招","Melee combo, 7 skills"
CHAR_ARCHER,"弓手 · 逐风","Archer"
CHAR_ARCHER_DESC,"三段连射风筝流，箭无虚发","Ranged volleys, keep your distance"
SKILL_BOW_1,"连射·一","Salvo I"
SKILL_BOW_2,"连射·二","Salvo II"
SKILL_BOW_3,"贯日","Sunshot"
SKILL_QUICK_SHOT,"疾风连珠","Gale Burst"
SKILL_HEAVY_BOLT,"碎甲重矢","Armor Splitter"
SKILL_SKY_PIERCE,"穿云箭","Sky Piercer"
UI_BAG_WRONG_WEAPON,"%s 不是这个角色能使的武器（K 可以卖掉）","%s cannot wield this weapon (K to sell)"
NPC_SIGN_BASIC,告示牌 · 基本操作,Signpost · Basics
NPC_SIGN_COMBAT,告示牌 · 战斗要领,Signpost · Combat
SIGN_BASIC_1,出门前先记熟这几手 ——,Learn these before you head out —
SIGN_COMBAT_1,再往前就是淬火岭，这几手是要命的 ——,Quench Ridge lies ahead — these are the ones that keep you alive —
UI_BACK,返回,Back
MAP_SWORD_TOMB,剑冢,Sword Tomb
DUNGEON_CANJIANLIN,残剑林,Broken Blade Grove
DUNGEON_XIUSHI,锈蚀甬道,Rusted Corridor
DUNGEON_ZHONGXIN,冢心,Heart of the Tomb
UI_CREDITS,素材致谢,Credits
UI_CREDITS_NOTE,以上素材按各自许可使用；许可原文随包分发（assets/CREDITS.md）。,Assets used under their respective licenses; full license texts ship with the game (assets/CREDITS.md).
ITEM_EQ_U5934U76D4_0_U76AEU76D4,"皮盔","Leather Helm"
ITEM_EQ_U5934U76D4_0_U94C1U76D4,"铁盔","Iron Helm"
ITEM_EQ_U5934U76D4_1_U7CBEU94A2U76D4,"精钢盔","Fine Steel Helm"
ITEM_EQ_U5934U76D4_1_U94FEU7532U76D4,"链甲盔","Chainmail Helm"
ITEM_EQ_U5934U76D4_2_U5BD2U94C1U76D4,"寒铁盔","Cold Iron Helm"
ITEM_EQ_U5934U76D4_2_U7384U94C1U76D4,"玄铁盔","Dark Iron Helm"
ITEM_EQ_U5934U76D4_3_U5BD2U971CU76D4,"寒霜盔","Frost Helm"
ITEM_EQ_U5934U76D4_3_U8D64U94DCU76D4,"赤铜盔","Red Copper Helm"
ITEM_EQ_U5934U76D4_4_U5929U9F99U76D4,"天龙盔","Sky Dragon Helm"
ITEM_EQ_U5934U76D4_4_U7384U6B66U76D4,"玄武盔","Black Tortoise Helm"
ITEM_EQ_U5934U76D4_5_U5E1DU80C4,"帝胄","Imperial Casque"
ITEM_EQ_U5934U76D4_5_U6606U4ED1U76D4,"昆仑盔","Kunlun Helm"
ITEM_EQ_U6212U6307_0_U94C1U6212,"铁戒","Iron Ring"
ITEM_EQ_U6212U6307_0_U94DCU6212,"铜戒","Copper Ring"
ITEM_EQ_U6212U6307_1_U7389U77F3U6212,"玉石戒","Jade Ring"
ITEM_EQ_U6212U6307_1_U7CBEU94A2U6212,"精钢戒","Fine Steel Ring"
ITEM_EQ_U6212U6307_2_U7384U94C1U6212,"玄铁戒","Dark Iron Ring"
ITEM_EQ_U6212U6307_2_U7425U73C0U6212,"琥珀戒","Amber Ring"
ITEM_EQ_U6212U6307_3_U5E7DU84DDU6212,"幽蓝戒","Deep Blue Ring"
ITEM_EQ_U6212U6307_3_U8D64U91D1U6212,"赤金戒","Red Gold Ring"
ITEM_EQ_U6212U6307_4_U51E4U9E23U6212,"凤鸣戒","Phoenix-Cry Ring"
ITEM_EQ_U6212U6307_4_U9F99U7EB9U6212,"龙纹戒","Dragon-Pattern Ring"
ITEM_EQ_U6212U6307_5_U4E7EU5764U6212,"乾坤戒","Qiankun Ring"
ITEM_EQ_U6212U6307_5_U6DF7U6C8CU6212,"混沌戒","Chaos Ring"
ITEM_EQ_U624BU956F_0_U6728U956F,"木镯","Wooden Bracelet"
ITEM_EQ_U624BU956F_0_U94C1U956F,"铁镯","Iron Bracelet"
ITEM_EQ_U624BU956F_1_U7CBEU94A2U956F,"精钢镯","Fine Steel Bracelet"
ITEM_EQ_U624BU956F_1_U94F6U956F,"银镯","Silver Bracelet"
ITEM_EQ_U624BU956F_2_U53E4U7389U956F,"古玉镯","Ancient Jade Bracelet"
ITEM_EQ_U624BU956F_2_U7384U94C1U956F,"玄铁镯","Dark Iron Bracelet"
ITEM_EQ_U624BU956F_3_U5BD2U7389U956F,"寒玉镯","Cold Jade Bracelet"
ITEM_EQ_U624BU956F_3_U8D64U91D1U956F,"赤金镯","Red Gold Bracelet"
ITEM_EQ_U624BU956F_4_U51E4U7FCEU956F,"凤翎镯","Phoenix Plume Bracelet"
ITEM_EQ_U624BU956F_4_U76D8U9F99U956F,"盘龙镯","Coiled Dragon Bracelet"
ITEM_EQ_U624BU956F_5_U4E7EU5764U956F,"乾坤镯","Qiankun Bracelet"
ITEM_EQ_U624BU956F_5_U6DF7U6C8CU956F,"混沌镯","Chaos Bracelet"
ITEM_EQ_U62A4U817F_0_U76AEU62A4U817F,"皮护腿","Leather Leggings"
ITEM_EQ_U62A4U817F_0_U94C1U62A4U817F,"铁护腿","Iron Leggings"
ITEM_EQ_U62A4U817F_1_U7CBEU94A2U62A4U817F,"精钢护腿","Fine Steel Leggings"
ITEM_EQ_U62A4U817F_1_U94FEU7532U62A4U817F,"链甲护腿","Chainmail Leggings"
ITEM_EQ_U62A4U817F_2_U5BD2U94C1U62A4U817F,"寒铁护腿","Cold Iron Leggings"
ITEM_EQ_U62A4U817F_2_U7384U94C1U62A4U817F,"玄铁护腿","Dark Iron Leggings"
ITEM_EQ_U62A4U817F_3_U7384U6B66U62A4U817F,"玄武护腿","Black Tortoise Leggings"
ITEM_EQ_U62A4U817F_3_U8D64U94DCU62A4U817F,"赤铜护腿","Red Copper Leggings"
ITEM_EQ_U62A4U817F_4_U5929U9F99U62A4U817F,"天龙护腿","Sky Dragon Leggings"
ITEM_EQ_U62A4U817F_4_U9E92U9E9FU62A4U817F,"麒麟护腿","Qilin Leggings"
ITEM_EQ_U62A4U817F_5_U5E1DU80C4U62A4U817F,"帝胄护腿","Imperial Greaves"
ITEM_EQ_U62A4U817F_5_U6606U4ED1U62A4U817F,"昆仑护腿","Kunlun Leggings"
ITEM_EQ_U80F8U7532_0_U5E03U8863,"布衣","Cloth Robe"
ITEM_EQ_U80F8U7532_0_U76AEU7532,"皮甲","Leather Armor"
ITEM_EQ_U80F8U7532_1_U94C1U7532,"铁甲","Iron Armor"
ITEM_EQ_U80F8U7532_1_U9501U5B50U7532,"锁子甲","Chainmail"
ITEM_EQ_U80F8U7532_2_U5BD2U94C1U7532,"寒铁甲","Cold Iron Armor"
ITEM_EQ_U80F8U7532_2_U7384U94C1U7532,"玄铁甲","Dark Iron Armor"
ITEM_EQ_U80F8U7532_3_U7384U6B66U7532,"玄武甲","Black Tortoise Armor"
ITEM_EQ_U80F8U7532_3_U8D64U91D1U7532,"赤金甲","Red Gold Armor"
ITEM_EQ_U80F8U7532_4_U5E94U9F99U7532,"应龙甲","Yinglong Armor"
ITEM_EQ_U80F8U7532_4_U9E92U9E9FU7532,"麒麟甲","Qilin Armor"
ITEM_EQ_U80F8U7532_5_U4E0DU706DU91D1U8EAB,"不灭金身","Undying Golden Body"
ITEM_EQ_U80F8U7532_5_U5929U8695U7532,"天蚕甲","Sky Silkworm Armor"
ITEM_EQ_U9774U5B50_0_U5E03U978B,"布鞋","Cloth Shoes"
ITEM_EQ_U9774U5B50_0_U76AEU9774,"皮靴","Leather Boots"
ITEM_EQ_U9774U5B50_1_U7CBEU94A2U9774,"精钢靴","Fine Steel Boots"
ITEM_EQ_U9774U5B50_1_U94C1U9774,"铁靴","Iron Boots"
ITEM_EQ_U9774U5B50_2_U7384U94C1U9774,"玄铁靴","Dark Iron Boots"
ITEM_EQ_U9774U5B50_2_U75BEU98CEU9774,"疾风靴","Gale Boots"
ITEM_EQ_U9774U5B50_3_U8E0FU96EAU9774,"踏雪靴","Snow-Treader Boots"
ITEM_EQ_U9774U5B50_3_U8FFDU4E91U9774,"追云靴","Cloud-Chaser Boots"
ITEM_EQ_U9774U5B50_4_U51CCU6CE2U9774,"凌波靴","Wave-Stepper Boots"
ITEM_EQ_U9774U5B50_4_U7F29U5730U9774,"缩地靴","Earth-Shrinker Boots"
ITEM_EQ_U9774U5B50_5_U767BU4ED9U9774,"登仙靴","Ascension Boots"
ITEM_EQ_U9774U5B50_5_U7F29U5730U91D1U9774,"缩地金靴","Golden Earth-Shrinker Boots"
ITEM_EQ_U9879U94FE_0_U9AA8U5760,"骨坠","Bone Pendant"
ITEM_EQ_U9879U94FE_0_U9EBBU7EF3U9879U94FE,"麻绳项链","Hemp Cord Necklace"
ITEM_EQ_U9879U94FE_1_U7389U4F69,"玉佩","Jade Pendant"
ITEM_EQ_U9879U94FE_1_U94F6U94FE,"银链","Silver Chain"
ITEM_EQ_U9879U94FE_2_U6C34U6676U9879U94FE,"水晶项链","Crystal Necklace"
ITEM_EQ_U9879U94FE_2_U7384U7389U5760,"玄玉坠","Dark Jade Pendant"
ITEM_EQ_U9879U94FE_3_U7075U7280U5760,"灵犀坠","Heartlink Pendant"
ITEM_EQ_U9879U94FE_3_U8D64U91D1U9501,"赤金锁","Red Gold Chain"
ITEM_EQ_U9879U94FE_4_U51E4U8840U7389,"凤血玉","Phoenix Blood Jade"
ITEM_EQ_U9879U94FE_4_U76D8U9F99U4F69,"盘龙佩","Coiled Dragon Pendant"
ITEM_EQ_U9879U94FE_5_U661FU8FB0U94FE,"星辰链","Star Chain"
ITEM_EQ_U9879U94FE_5_U9E3FU8499U73E0,"鸿蒙珠","Primordial Orb"
ITEM_WP_U5200_0_U73AFU9996U5200,"环首刀","Ring-Pommel Blade"
ITEM_WP_U5200_0_U94C1U5200,"铁刀","Iron Blade"
ITEM_WP_U5200_1_U7CBEU94A2U5200,"精钢刀","Fine Steel Blade"
ITEM_WP_U5200_1_U96C1U7FCEU5200,"雁翎刀","Goose-Feather Blade"
ITEM_WP_U5200_2_U65A9U9A6CU5200,"斩马刀","Horse-Cleaver"
ITEM_WP_U5200_2_U7384U94C1U5200,"玄铁刀","Dark Iron Blade"
ITEM_WP_U5200_3_U8D2AU72FCU5200,"贪狼刀","Wolf-Devourer"
ITEM_WP_U5200_3_U8D64U9704U5200,"赤霄刀","Red Sky Blade"
ITEM_WP_U5200_4_U5043U6708U5200,"偃月刀","Crescent Moon Blade"
ITEM_WP_U5200_4_U5C60U9F99U5200,"屠龙刀","Dragon Slayer Blade"
ITEM_WP_U5200_5_U5F00U5929U5200,"开天刀","World-Opener Blade"
ITEM_WP_U5200_5_U82CDU7A79U5200,"苍穹刀","Firmament Blade"
ITEM_WP_U5251_0_U5236U5F0FU5251,"制式剑","Standard Sword"
ITEM_WP_U5251_0_U94C1U5251,"铁剑","Iron Sword"
ITEM_WP_U5251_1_U767EU70BCU5251,"百炼剑","Hundred-Forged Sword"
ITEM_WP_U5251_1_U7CBEU94A2U5251,"精钢剑","Fine Steel Sword"
ITEM_WP_U5251_2_U7384U94C1U5251,"玄铁剑","Dark Iron Sword"
ITEM_WP_U5251_2_U9752U971CU5251,"青霜剑","Frostblue Sword"
ITEM_WP_U5251_3_U5BD2U6708U5251,"寒月剑","Frostmoon Sword"
ITEM_WP_U5251_3_U7834U519BU5251,"破军剑","Army-Breaker Sword"
ITEM_WP_U5251_4_U6E5BU5362U5251,"湛卢剑","Zhanlu Sword"
ITEM_WP_U5251_4_U9F99U6E0AU5251,"龙渊剑","Dragon Abyss Sword"
ITEM_WP_U5251_5_U8BDBU4ED9U5251,"诛仙剑","Immortal-Slayer Sword"
ITEM_WP_U5251_5_U8F69U8F95U5251,"轩辕剑","Xuanyuan Sword"
ITEM_WP_U5F13_0_U6728U5F13,"木弓","Wooden Bow"
ITEM_WP_U5F13_0_U730EU5F13,"猎弓","Hunter's Bow"
ITEM_WP_U5F13_1_U89D2U5F13,"角弓","Horn Bow"
ITEM_WP_U5F13_1_U94C1U80CEU5F13,"铁胎弓","Iron-Backed Bow"
ITEM_WP_U5F13_2_U7384U94C1U5F13,"玄铁弓","Dark Iron Bow"
ITEM_WP_U5F13_2_U7A7FU4E91U5F13,"穿云弓","Cloudpiercer"
ITEM_WP_U5F13_3_U6D41U661FU5F13,"流星弓","Meteor Bow"
ITEM_WP_U5F13_3_U9010U65E5U5F13,"逐日弓","Sun-Chaser Bow"
ITEM_WP_U5F13_4_U540EU7FBFU5F13,"后羿弓","Houyi's Bow"
ITEM_WP_U5F13_4_U843DU65E5U5F13,"落日弓","Sunset Bow"
ITEM_WP_U5F13_5_U5929U72FCU5F13,"天狼弓","Sirius Bow"
ITEM_WP_U5F13_5_U9668U661FU5F13,"陨星弓","Meteorite Bow"
ITEM_WP_U6756_0_U5B66U5F92U6756,"学徒杖","Apprentice Staff"
ITEM_WP_U6756_0_U6843U6728U6756,"桃木杖","Peachwood Staff"
ITEM_WP_U6756_1_U767DU8721U6756,"白蜡杖","White Wax Staff"
ITEM_WP_U6756_1_U7CBEU94A2U6CD5U6756,"精钢法杖","Fine Steel Staff"
ITEM_WP_U6756_2_U5BD2U94C1U6756,"寒铁杖","Cold Iron Staff"
ITEM_WP_U6756_2_U7D2BU6676U6756,"紫晶杖","Amethyst Staff"
ITEM_WP_U6756_3_U5E7DU51A5U6756,"幽冥杖","Netherworld Staff"
ITEM_WP_U6756_3_U8D64U708EU6756,"赤炎杖","Blazing Staff"
ITEM_WP_U6756_4_U6731U96C0U6756,"朱雀杖","Vermilion Bird Staff"
ITEM_WP_U6756_4_U7384U51A5U6756,"玄冥杖","Dark Water Staff"
ITEM_WP_U6756_5_U592AU6781U6756,"太极杖","Taiji Staff"
ITEM_WP_U6756_5_U6DF7U6C8CU6756,"混沌杖","Chaos Staff"
MAT_REFINED_IRON,精铁,精铁
MAT_BLACK_IRON,玄铁,玄铁
MAT_SKY_CRYSTAL,天晶,天晶
MAT_DRAGON_SOUL,龙魂,龙魂
MAT_TAICHU,太乙精金,太乙精金
UI_TIER_3,极品,Exceptional
UI_TIER_4,传说,Legendary
UI_TIER_5,至尊,Supreme
UI_BP_TIER,制书·%s,%s Blueprint
UI_SHOP_BP_OK,"解锁成功！去铁匠铺打造（Tab 切到打造页）","Unlocked! Craft it at the forge (Tab to switch)"
UI_SHOP_BP_OWNED,"这本已经解锁过了","Already unlocked"
